NF,YF,FZMC,FZDM,HBZS,TBZS,TBLJZS
2022,12,总指数,000,100.3,101.7,102.6
2022,12,   轻工业,501,100.4,100.7,101.1
2022,12,   重工业,502,100.3,101.9,103
2022,12,石油和天然气开采业,070,81.3,86.5,103
2022,12,  天然气开采,072,81.3,86.5,103
2022,12,农副食品加工业,130,99.9,106.8,109.3
2022,12,  谷物磨制,131,99.8,107.5,106.1
2022,12,  饲料加工,132,101.1,112.4,107
2022,12,  植物油加工,133,100,110.1,121
2022,12,  屠宰及肉类加工,135,100.8,106.4,101.8
2022,12,  水产品加工,136,99.7,109.4,109
2022,12,  蔬菜、菌类、水果和坚果加工,137,96.3,94,99.8
2022,12,  其他农副食品加工,139,97.4,96.3,105.5
2022,12,食品制造业,140,101.1,101.8,102.1
2022,12,  焙烤食品制造,141,100,103.6,104.8
2022,12,  糖果、巧克力及蜜饯制造,142,100,100.5,101.3
2022,12,  方便食品制造,143,99.5,102.3,104.2
2022,12,  乳制品制造,144,100,100,100.5
2022,12,  罐头食品制造,145,100,100,100.7
2022,12,  调味品、发酵制品制造,146,100.7,103.7,103.1
2022,12,  其他食品制造,149,103.9,100.2,99.3
2022,12,酒、饮料和精制茶制造业,150,100.4,101.4,101.4
2022,12,  酒的制造,151,99.2,99.2,99.8
2022,12,  饮料制造,152,100.7,102,101.8
2022,12,烟草制品业,160,100,100,100
2022,12,  卷烟制造,162,100,100,100
2022,12,纺织业,170,100.3,103.3,100.7
2022,12,  棉纺织及印染精加工,171,99.9,108.3,109
2022,12,  毛纺织及染整精加工,172,101.1,112.3,103.1
2022,12,  化纤织造及印染精加工,175,99.5,101.7,100.1
2022,12,  家用纺织制成品制造,177,100,100.6,97.4
2022,12,  产业用纺织制成品制造,178,100.6,103.2,100.1
2022,12,纺织服装、服饰业,180,100.4,102.5,101.2
2022,12,  机织服装制造,181,99.9,102.5,100.5
2022,12,  针织或钩针编织服装制造,182,101.1,100.8,100.4
2022,12,  服饰制造,183,101.9,108.6,110
2022,12,皮革、毛皮、羽毛及其制品和制鞋业,190,101.3,100.1,97.7
2022,12,  皮革制品制造,192,101.2,99.9,97.6
2022,12,  制鞋业,195,101.8,101.6,98.9
2022,12,木材加工和木、竹、藤、棕、草制品业,200,99.7,106.5,106.5
2022,12,  人造板制造,202,99.4,103.8,105.1
2022,12,  木质制品制造,203,99.8,107.2,106.8
2022,12,家具制造业,210,100.5,103.5,101.6
2022,12,  木质家具制造,211,100.1,99.7,99.8
2022,12,  金属家具制造,213,101,102.8,100.2
2022,12,  其他家具制造,219,98.9,112,111.5
2022,12,造纸和纸制品业,220,100.1,99.7,99.7
2022,12,  造纸,222,101.2,101.4,100.7
2022,12,  纸制品制造,223,99.8,99.3,99.5
2022,12,印刷和记录媒介复制业,230,100.1,100.5,103.9
2022,12,  印刷,231,100.1,100.5,104
2022,12,文教、工美、体育和娱乐用品制造业,240,101.5,105.8,104.4
2022,12,  文教办公用品制造,241,99.5,96.6,98
2022,12,  乐器制造,242,100,114.2,114.2
2022,12,  工艺美术及礼仪用品制造,243,102,106.3,103.9
2022,12,  体育用品制造,244,101.5,116.9,109.4
2022,12,  玩具制造,245,101,109.9,118.1
2022,12,石油、煤炭及其他燃料加工业,250,102,115.4,129.8
2022,12,  精炼石油产品制造,251,102,115.4,129.8
2022,12,  生物质燃料加工,254,100.3,111.8,124.4
2022,12,化学原料和化学制品制造业,260,99.2,99,104.3
2022,12,  基础化学原料制造,261,97.7,99.8,105.3
2022,12,  农药制造,263,99,117.5,119.6
2022,12,  涂料、油墨、颜料及类似产品制造,264,99.4,96.5,102
2022,12,  合成材料制造,265,101.2,91.3,103.1
2022,12,  专用化学产品制造,266,99.9,102.1,105.1
2022,12,  日用化学产品制造,268,99.6,106.9,103.4
2022,12,医药制造业,270,100,95,95.7
2022,12,  化学药品原料药制造,271,100,105.1,112.5
2022,12,  化学药品制剂制造,272,99.6,88.5,88.8
2022,12,  中药饮片加工,273,101.3,107.7,108.6
2022,12,  中成药生产,274,100,104.2,98.7
2022,12,  兽用药品制造,275,100,100,100
2022,12,  生物药品制品制造,276,100.7,98.5,98.4
2022,12,  卫生材料及医药用品制造,277,100.2,101.2,103
2022,12,化学纤维制造业,280,98.5,90.7,106.5
2022,12,  合成纤维制造,282,98.5,90.7,106.5
2022,12,橡胶和塑料制品业,290,100,96,99.2
2022,12,  橡胶制品业,291,101.1,101.3,99.8
2022,12,  塑料制品业,292,99.8,94.8,99
2022,12,非金属矿物制品业,300,100.6,93.3,98.2
2022,12,  水泥、石灰和石膏制造,301,104.9,69,89.4
2022,12,  石膏、水泥制品及类似制品制造,302,100.1,89.7,97
2022,12,  砖瓦、石材等建筑材料制造,303,102.9,104,103.7
2022,12,  玻璃制造,304,101.2,104.4,104.9
2022,12,  玻璃制品制造,305,99.8,100.8,99.3
2022,12,  玻璃纤维和玻璃纤维增强塑料制品制,306,100,47.7,64.9
2022,12,  陶瓷制品制造,307,100,99.9,99.1
2022,12,  耐火材料制品制造,308,100,113.1,106.9
2022,12,  石墨及其他非金属矿物制品制造,309,100,98.5,105.8
2022,12,黑色金属冶炼和压延加工业,310,97.3,83.1,92.8
2022,12,  钢压延加工,313,97.3,83.1,92.8
2022,12,有色金属冶炼和压延加工业,320,101.6,94.7,103.6
2022,12,  有色金属合金制造,324,100.8,100.3,100
2022,12,  有色金属压延加工,325,101.6,94.3,103.8
2022,12,金属制品业,330,99.4,97.6,102.3
2022,12,  结构性金属制品制造,331,98.2,94.3,100
2022,12,  金属工具制造,332,101,98.9,98
2022,12,  集装箱及金属包装容器制造,333,98.1,88.9,99
2022,12,  金属丝绳及其制品制造,334,98.9,94.2,104.8
2022,12,  建筑、安全用金属制品制造,335,100.6,102.4,100.6
2022,12,  金属表面处理及热处理加工,336,100.4,99.5,104.5
2022,12,  金属制日用品制造,338,99.4,108.5,104.3
2022,12,  铸造及其他金属制品制造,339,99.2,99.1,105
2022,12,通用设备制造业,340,100.5,101.1,101.6
2022,12,  锅炉及原动设备制造,341,99.2,99.6,99.6
2022,12,  金属加工机械制造,342,102.6,99.4,99.7
2022,12,  物料搬运设备制造,343,100.8,99.5,101.5
2022,12,  泵、阀门、压缩机及类似机械制造,344,100.4,103.2,103.4
2022,12,  轴承、齿轮和传动部件制造,345,100.6,103.8,103.2
2022,12,  烘炉、风机、包装等设备制造,346,100.6,101.7,103.2
2022,12,  文化、办公用机械制造,347,102.4,102.5,100.3
2022,12,  通用零部件制造,348,99.4,100.8,102.3
2022,12,  其他通用设备制造业,349,101,102,97.3
2022,12,专用设备制造业,350,100.6,100.5,99.5
2022,12,  采矿、冶金、建筑专用设备制造,351,100.5,96.2,95.5
2022,12,  化工、木材、非金属加工专用设备制,352,100,101.8,102.4
2022,12,  食品、饮料、烟草及饲料生产专用设,353,100,99.2,100.8
2022,12,  印刷、制药、日化及日用品生产专用,354,100.4,101.7,100.9
2022,12,  纺织、服装和皮革加工专用设备制造,355,99.9,99.8,100.3
2022,12,  电子和电工机械专用设备制造,356,98.9,101.3,100.9
2022,12,  医疗仪器设备及器械制造,358,101.5,101.9,97.6
2022,12,  环保、邮政、社会公共服务及其他专,359,102,104,102.2
2022,12,汽车制造业,360,99.7,98.8,99.2
2022,12,  汽车整车制造,361,99.7,96.4,97.1
2022,12,  汽车用发动机制造,362,100,100,98
2022,12,  改装汽车制造,363,100,100,100
2022,12,  汽车零部件及配件制造,367,99.7,101.4,101.6
2022,12,铁路、船舶、航空航天和其他运输设备,370,100.2,100.3,99.8
2022,12,  铁路运输设备制造,371,100,100,100
2022,12,  城市轨道交通设备制造,372,100.4,99,98
2022,12,  船舶及相关装置制造,373,100.2,100.4,99.9
2022,12,  航空、航天器及设备制造,374,100,100,99.3
2022,12,  摩托车制造,375,100.7,100.9,98
2022,12,  自行车和残疾人座车制造,376,100.3,100.6,104.3
2022,12,电气机械和器材制造业,380,100.5,100.4,102.7
2022,12,  电机制造,381,100.3,100.4,100.1
2022,12,  输配电及控制设备制造,382,100.2,99.7,101.3
2022,12,  电线、电缆、光缆及电工器材制造,383,101.2,96.7,105.9
2022,12,  电池制造,384,100,115.7,110.8
2022,12,  家用电力器具制造,385,100.9,108,104.6
2022,12,  非电力家用器具制造,386,100,100.8,101.4
2022,12,  照明器具制造,387,100.2,96.6,97.3
2022,12,  其他电气机械及器材制造,389,99.7,98.6,102.4
2022,12,计算机、通信和其他电子设备制造业,390,100.7,108.8,103.1
2022,12,  计算机制造,391,101.1,111.2,103.5
2022,12,  通信设备制造,392,100.6,109.6,102.7
2022,12,  非专业视听设备制造,395,98.9,89,89.6
2022,12,  智能消费设备制造,396,101.9,112.6,102.7
2022,12,  电子器件制造,397,100.7,111,107
2022,12,  电子元件及电子专用材料制造,398,99.8,102.6,101.2
2022,12,  其他电子设备制造,399,100.2,101.2,101.8
2022,12,仪器仪表制造业,400,100.5,102.7,100.4
2022,12,  通用仪器仪表制造,401,99.7,99.2,99.1
2022,12,  专用仪器仪表制造,402,101.9,108.7,102.7
2022,12,  光学仪器制造,404,101.5,112.3,103.1
2022,12,  衡器制造,405,100.4,109.2,107.6
2022,12,  其他仪器仪表制造业,409,104.5,103.7,96.6
2022,12,其他制造业,410,100,99.5,105.3
2022,12,  日用杂品制造,411,100,100,107.2
2022,12,  其他未列明制造业,419,100,98.4,101.2
2022,12,废弃资源综合利用业,420,100,95,95.4
2022,12,  非金属废料和碎屑加工处理,422,100,95,95.4
2022,12,金属制品、机械和设备修理业,430,100.8,106.3,102
2022,12,  铁路、船舶、航空航天等运输设备修,434,100.8,106.4,102
2022,12,电力、热力生产和供应业,440,100.2,114,111.2
2022,12,  电力生产,441,104.3,124.3,119.9
2022,12,  电力供应,442,98.6,110.2,108
2022,12,  热力生产和供应,443,103.7,120.1,114.4
2022,12,燃气生产和供应业,450,111.6,125.3,110
2022,12,  燃气生产和供应业,451,111.6,125.3,110
2022,12,水的生产和供应业,460,99.6,107.7,116.6
2022,12,  自来水生产和供应,461,100,107.4,116.5
2022,12,  污水处理及其再生利用,462,97.5,108.6,116.9
2022,12,,232,100.1,100.5,103.9
2022,12,,246,101.5,105.8,104.4
2022,12,,262,99.2,99,104.3
2022,12,,278,100,95,95.7
2022,12,,357,100.6,100.5,99.5
2022,12,,393,100.7,108.8,103.1
2022,12,,432,100.8,106.3,102
2022,12,,433,100.8,106.3,102
2022,12,,435,100.8,106.3,102
2022,12,,436,100.8,106.3,102
2022,12,,439,100.8,106.3,102
2022,12,,312,97.3,83.1,92.8
2022,12,,379,100.2,100.3,99.8
2022,12,,431,100.8,106.3,102
